[08-Jan-2012 18:22:32] PHP Fatal error:  Call to undefined method Form::saveDataToDatabase() in /Users/mkram0/Sites/php-framework/templates/default/Template.php on line 75
[09-Jan-2012 13:35:48] PHP Warning:  Missing argument 2 for Form::prepareFileUpload(), called in /Users/mkram0/Sites/php-framework/inc/Module.php on line 239 and defined in /Users/mkram0/Sites/php-framework/inc/Module.php on line 303
[09-Jan-2012 13:35:49] PHP Notice:  Undefined variable: destination in /Users/mkram0/Sites/php-framework/inc/Module.php on line 311
[09-Jan-2012 13:35:49] PHP Notice:  Undefined variable: destination in /Users/mkram0/Sites/php-framework/inc/Module.php on line 313
[09-Jan-2012 13:35:49] PHP Warning:  Missing argument 2 for Form::prepareFileUpload(), called in /Users/mkram0/Sites/php-framework/inc/Module.php on line 239 and defined in /Users/mkram0/Sites/php-framework/inc/Module.php on line 303
[09-Jan-2012 13:35:49] PHP Notice:  Undefined variable: destination in /Users/mkram0/Sites/php-framework/inc/Module.php on line 311
[09-Jan-2012 13:35:49] PHP Notice:  Undefined variable: destination in /Users/mkram0/Sites/php-framework/inc/Module.php on line 313
[09-Jan-2012 14:18:30] PHP Notice:  Undefined variable: destination in /Users/mkram0/Sites/php-framework/inc/Module.php on line 326
[09-Jan-2012 14:18:30] PHP Notice:  Undefined variable: fileName in /Users/mkram0/Sites/php-framework/inc/Module.php on line 327
[09-Jan-2012 14:18:30] PHP Notice:  Undefined variable: oPrep in /Users/mkram0/Sites/php-framework/inc/Module.php on line 328
[09-Jan-2012 14:18:30] PHP Notice:  Undefined variable: destination in /Users/mkram0/Sites/php-framework/inc/Module.php on line 326
[09-Jan-2012 14:18:30] PHP Notice:  Undefined variable: fileName in /Users/mkram0/Sites/php-framework/inc/Module.php on line 327
[09-Jan-2012 14:18:30] PHP Notice:  Undefined variable: oPrep in /Users/mkram0/Sites/php-framework/inc/Module.php on line 328
[09-Jan-2012 14:19:44] PHP Notice:  Undefined variable: destination in /Users/mkram0/Sites/php-framework/inc/Module.php on line 327
[09-Jan-2012 14:19:44] PHP Notice:  Undefined variable: fileName in /Users/mkram0/Sites/php-framework/inc/Module.php on line 328
[09-Jan-2012 14:19:44] PHP Notice:  Undefined variable: oPrep in /Users/mkram0/Sites/php-framework/inc/Module.php on line 329
[09-Jan-2012 14:22:09] PHP Notice:  Undefined index: fullPath in /Users/mkram0/Sites/php-framework/inc/Module.php on line 279
[09-Jan-2012 14:22:09] PHP Warning:  move_uploaded_file(up_picture_1326118929.jpg) [<a href='function.move-uploaded-file'>function.move-uploaded-file</a>]: failed to open stream: Permission denied in /Users/mkram0/Sites/php-framework/inc/Module.php on line 323
[09-Jan-2012 14:22:09] PHP Warning:  move_uploaded_file() [<a href='function.move-uploaded-file'>function.move-uploaded-file</a>]: Unable to move '/Applications/MAMP/tmp/php/php3X4EUz' to 'up_picture_1326118929.jpg' in /Users/mkram0/Sites/php-framework/inc/Module.php on line 323
[09-Jan-2012 14:22:09] PHP Notice:  Undefined index: fullPath in /Users/mkram0/Sites/php-framework/inc/Module.php on line 279
[09-Jan-2012 14:22:09] PHP Warning:  move_uploaded_file(up_picture_1326118929.jpg) [<a href='function.move-uploaded-file'>function.move-uploaded-file</a>]: failed to open stream: Permission denied in /Users/mkram0/Sites/php-framework/inc/Module.php on line 323
[09-Jan-2012 14:22:09] PHP Warning:  move_uploaded_file() [<a href='function.move-uploaded-file'>function.move-uploaded-file</a>]: Unable to move '/Applications/MAMP/tmp/php/php3X4EUz' to 'up_picture_1326118929.jpg' in /Users/mkram0/Sites/php-framework/inc/Module.php on line 323
[09-Jan-2012 14:22:39] PHP Warning:  move_uploaded_file(up_picture_1326118959.jpg) [<a href='function.move-uploaded-file'>function.move-uploaded-file</a>]: failed to open stream: Permission denied in /Users/mkram0/Sites/php-framework/inc/Module.php on line 323
[09-Jan-2012 14:22:39] PHP Warning:  move_uploaded_file() [<a href='function.move-uploaded-file'>function.move-uploaded-file</a>]: Unable to move '/Applications/MAMP/tmp/php/phpuLoM48' to 'up_picture_1326118959.jpg' in /Users/mkram0/Sites/php-framework/inc/Module.php on line 323
[09-Jan-2012 14:22:39] PHP Warning:  move_uploaded_file(up_picture_1326118959.jpg) [<a href='function.move-uploaded-file'>function.move-uploaded-file</a>]: failed to open stream: Permission denied in /Users/mkram0/Sites/php-framework/inc/Module.php on line 323
